nome,anos,media,faltas,curso_Administracao,curso_Engenharia,curso_Medicina,curso_Direito,curso_Computacao,genero_M,genero_F,status_Probatorio,status_Bolsista,status_Regular
Ze,23,7.5,0.24,0,1,0,0,0,1,0,0,0,1
Maria,17,9.4,0.00,0,0,1,0,0,0,1,0,1,0
Lia,22,8,0.15,0,0,0,1,0,0,1,0,0,1
Lucas,25,6.5,0.35,0,1,0,0,0,1,0,1,0,0
Jọo,19,7.2,0.10,0,0,0,0,1,1,0,0,0,1
Ana,21,8.6,0.05,0,0,1,0,0,0,1,0,1,0
Pedro,24,5.9,0.40,0,0,0,0,1,1,0,1,0,0
Julia,20,9.1,0.02,0,0,0,1,0,0,1,0,1,0
Marcos,22,6.8,0.30,0,1,0,0,0,1,0,0,0,1
Carla,18,7.9,0.12,0,0,1,0,0,0,1,0,0,1
Bruno,23,6.0,0.45,0,0,0,0,1,1,0,1,0,0
Fernanda,21,8.3,0.08,0,0,0,1,0,0,1,0,0,1
Tiago,20,5.5,0.50,0,1,0,0,0,1,0,1,0,0
Beatriz,19,9.6,0.01,0,0,1,0,0,0,1,0,1,0
Rafael,22,7.0,0.20,0,0,0,0,1,1,0,0,0,1
Isabela,25,8.0,0.10,0,0,0,1,0,0,1,0,0,1
Eduardo,24,6.2,0.38,0,1,0,0,0,1,0,1,0,0
Sofia,18,9.0,0.00,0,0,1,0,0,0,1,0,1,0
Gustavo,23,7.4,0.25,0,0,0,0,1,1,0,0,0,1
Camila,20,8.9,0.04,0,0,0,1,0,0,1,0,1,0
Daniel,30,4.8,0.6,1,0,0,0,0,1,0,1,0,0
Patricia,29,5.1,0.55,1,0,0,0,0,0,1,1,0,0
Renato,31,4.5,0.58,1,0,0,0,0,1,0,1,0,0
