nome,anos,media,faltas,curso,genero,status
Ze,23,7.5,0.24,Engenharia,M,Regular
Maria,17,9.4,0.00,Medicina,F,Bolsista
Lia,22,8,0.15,Direito,F,Regular
Lucas,25,6.5,0.35,Engenharia,M,Probatorio
Jọo,19,7.2,0.10,Computacao,M,Regular
Ana,21,8.6,0.05,Medicina,F,Bolsista
Pedro,24,5.9,0.40,Computacao,M,Probatorio
Julia,20,9.1,0.02,Direito,F,Bolsista
Marcos,22,6.8,0.30,Engenharia,M,Regular
Carla,18,7.9,0.12,Medicina,F,Regular
Bruno,23,6.0,0.45,Computacao,M,Probatorio
Fernanda,21,8.3,0.08,Direito,F,Regular
Tiago,20,5.5,0.50,Engenharia,M,Probatorio
Beatriz,19,9.6,0.01,Medicina,F,Bolsista
Rafael,22,7.0,0.20,Computacao,M,Regular
Isabela,25,8.0,0.10,Direito,F,Regular
Eduardo,24,6.2,0.38,Engenharia,M,Probatorio
Sofia,18,9.0,0.00,Medicina,F,Bolsista
Gustavo,23,7.4,0.25,Computacao,M,Regular
Camila,20,8.9,0.04,Direito,F,Bolsista
Daniel,30,4.8,0.6,Administracao,M,Probatorio
Patricia,29,5.1,0.55,Administracao,F,Probatorio
Renato,31,4.5,0.58,Administracao,M,Probatorio
